REGION_NAME     ,DIVISION_NAME   ,COUNCIL_NAME              ,POLLING_STATION                                  ,POLLING_STATIONS_COUNT
ADAMAOUA        ,                ,                          ,                                                 ,1485
                ,DJEREM          ,                          ,                                                 ,188
                ,                ,NGAOUNDAL                 ,                                                 ,94
                ,                ,                          ,CENTRE D'INSTRUCTION CPEFAN / A                  ,1
                ,                ,                          ,CENTRE D'INSTRUCTION CPEFAN / B                  ,1
                ,                ,                          ,CENTRE D'INSTRUCTION CPEFAN / C                  ,1
                ,                ,                          ,CENTRE D'INSTRUCTION CPEFAN / D                  ,1
                ,                ,                          ,CES DANFILI / A                                  ,1
                ,                ,                          ,CES DANFILI / B                                  ,1
                ,                ,                          ,E PRIVEE MATERNELLE BIL NGAOUNDAL / A            ,1
                ,                ,                          ,E PRIVEE MATERNELLE BIL NGAOUNDAL / B            ,1
                ,                ,                          ,E.P DE MBARNANG CAMPAGNE / A                     ,1
                ,                ,                          ,ECOLE BILINGUE NGAOUNDAL / A                     ,1
                ,                ,                          ,ECOLE BILINGUE NGAOUNDAL / B                     ,1
                ,                ,                          ,ECOLE BILINGUE NGAOUNDAL / C                     ,1
                ,                ,                          ,ECOLE BILINGUE NGAOUNDAL / D                     ,1
                ,                ,                          ,ECOLE DES PARENTS DE MOYAO TAGGUE / A            ,1
                ,                ,                          ,ECOLE DES PARENTS DJOSSI MALAO / A               ,1
                ,                ,                          ,ECOLE DES PARENTS LIMBING / A                    ,1
                ,                ,                          ,ECOLE DES PARENTS MADJOING II / A                ,1
                ,                ,                          ,ECOLE DES PARENTS MASSIM- PLATEAU / A            ,1
                ,                ,                          ,ECOLE DES PARENTS MBONG / A                      ,1
                ,                ,                          ,ECOLE DES PARENTS NGABISKEDJE / A                ,1
                ,                ,                          ,ECOLE DES PARENTS ZAMBOI / A                     ,1
                ,                ,                          ,ECOLE FRANCO-ARABE NGAOUNDAL / A                 ,1
                ,                ,                          ,ECOLE FRANCO-ARABE NGAOUNDAL / B                 ,1
                ,                ,                          ,ECOLE FRANCO-ARABE NGAOUNDAL / C                 ,1
                ,                ,                          ,ECOLE FRANCO-ARABE NGAOUNDAL / D                 ,1
                ,                ,                          ,ECOLE PUBLIQUE ALI - AFFAIRE / A                 ,1
                ,                ,                          ,ECOLE PUBLIQUE BAMYANGA BORORO / A               ,1
                ,                ,                          ,ECOLE PUBLIQUE BEKA - GOTTO / A                  ,1
                ,                ,                          ,ECOLE PUBLIQUE BEKA - GOTTO / B                  ,1
                ,                ,                          ,ECOLE PUBLIQUE BEKA - GOTTO / C                  ,1
                ,                ,                          ,ECOLE PUBLIQUE BELAFOUKOU / A                    ,1
                ,                ,                          ,ECOLE PUBLIQUE BETARA - GONGO / A                ,1
                ,                ,                          ,ECOLE PUBLIQUE BETARA - GONGO / B                ,1
                ,                ,                          ,ECOLE PUBLIQUE CAMP FARA / A                     ,1
