COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Ngaoundal,,,,,,,,,,,,,,,
Ngaoundal,Centre Dinstruction Cpefan A,,,,,,,,,,,,,,
Yaounde I,,,,,,,,,,,,,,,
Yaounde I,Aspca Cabinet De Soins Ekombitie A,97,70,70,00,00,55,00,13,07,00,00,00,01,02
Yaounde I,C S Iplex B,395,188,186,2,0,101,1,53,17,1,1,5,1,6
Yaounde I,C S Iplex C,,,,,,74,01,49,17,00,02,03,03,06
Yaounde I,C S Iplex E,334,145,144,0,1,73,1,56,11,0,0,1,1,1
Yaounde I,C S Iplex F,344,131,131,0,0,76,1,26,18,1,1,4,2,2
Yaounde I,C S Iplex G,352,127,126,1,0,51,0,54,10,0,0,1,1,9
Yaounde I,C S Iplex H,348,137,142,1,0,69,1,39,21,0,1,6,0,5
Yaounde I,C S Iplex I,344,313,311,0,2,205,0,62,30,1,1,3,0,9
Yaounde I,C S Iplex J,348,191,191,0,0,78,2,69,30,0,1,5,1,5
Yaounde I,Cabinet St Raphael A,420,231,227,01,03,172,00,29,19,02,00,00,00,05
Yaounde I,Cabinet St Raphael B,406,171,171,0,0,123,0,32,12,1,0,0,1,2
Yaounde I,Cabinet St Raphael C,40,18,20,0,0,14,0,2,4,0,0,0,0,0
Yaounde I,Centre De Sante Bonne Volonte A,135,96,100,01,00,78,00,22,09,00,00,00,00,00
Yaounde I,Centre De Sante Zogo Abena A,275,170,167,3,0,116,4,23,20,2,0,1,0,1
Yaounde I,Cetic Charles Atangana A,307,133,132,0,1,80,1,18,27,0,0,0,0,6
Yaounde I,Cetic Charles Atangana B,302,127,125,2,1,69,2,27,18,0,0,2,0,6
Yaounde I,Cetic Charles Atangana C,332,142,142,00,00,85,01,26,18,00,00,00,01,11
Yaounde I,Cetic Charles Atangana D,317,148,146,02,,85,02,24,19,01,00,00,02,13
Yaounde I,Cetic Communal A,265,128,128,00,00,86,00,21,13,02,01,00,00,05
Yaounde I,Chambre Dagriculture A,420,209,207,2,0,122,0,44,35,3,0,1,0,2
Yaounde I,Club Camtel A,326,141,140,0,1,109,2,20,8,0,0,0,0,1
Yaounde I,Club Camtel D,336,131,131,01,00,88,01,23,14,00,00,00,00,04
Yaounde I,Club Camtel E,335,114,114,0,0,66,1,27,15,1,0,1,0,3
Yaounde I,Club Camtel G,318,97,95,0,2,47,2,22,19,0,0,0,1,4
Yaounde I,Club Camtel H,306,152,151,1,0,89,1,31,25,2,0,0,1,2
Yaounde I,Club Camtel I,308,123,122,1,,66,01,31,16,01,00,00,01,06
Yaounde I,College Adventiste A,331,178,178,00,,111,03,44,17,00,01,00,01,01
Yaounde I,College Adventiste C,333,133,140,02,00,84,01,32,15,01,02,00,03,00
Yaounde I,College Adventiste E,282,122,119,03,,67,03,21,20,03,01,00,01,03
Yaounde I,College Blaise Pascal A,367,162,162,00,00,101,01,32,15,01,00,01,02,08
Yaounde I,College Blaise Pascal B,188,86,86,00,00,57,00,18,07,01,01,00,00,02
Yaounde I,College Matamfem A,339,133,132,01,,78,03,22,24,00,00,01,00,04
Yaounde I,College Matamfem C,302,102,102,00,00,53,01,27,19,00,00,00,00,02
Yaounde I,College Mvom Nnam A,361,240,239,1,0,196,0,30,12,0,0,0,0,1
Yaounde I,College Prive Enfant Dafrique A,347,197,195,2,0,130,0,39,21,0,1,0,1,3
Yaounde I,College Prive Enfant Dafrique B,342,173,173,0,0,107,0,51,9,0,0,0,1,5
Yaounde I,College Prive Enfant Dafrique C,330,195,192,3,0,118,0,43,25,0,1,2,1,2
Yaounde I,Commissariat Central A,211,108,108,0,0,84,0,12,9,2,0,0,0,1
Yaounde I,Commissariat Central B,219,107,107,0,0,79,0,15,10,0,0,0,0,3
Yaounde I,Commissariat Special Chemin De Fer A,176,72,70,00,00,42,01,10,14,00,00,01,00,02
Yaounde I,Complexe Scol Les Fleurettes A,400,179,177,02,,111,01,33,22,01,00,00,01,08
Yaounde I,Complexe Scol Les Fleurettes B,403,181,180,01,,111,03,35,24,00,00,00,03,04
Yaounde I,Complexe Scolaire La Gaiete B,331,122,118,04,00,64,02,27,19,01,00,00,02,03
Yaounde I,Complexe Scolaire La Gaiete C,356,152,150,1,1,86,3,40,9,1,0,3,3,5
Yaounde I,Complexe Scolaire La Gaiete D,350,139,136,03,00,68,05,30,21,01,02,00,01,08
Yaounde I,Complexe Scolaire Ornel A,379,178,176,02,00,86,01,56,21,0,0,0,0,12
Yaounde I,Complexe Scolaire Ornel B,365,176,176,00,00,62,05,77,15,01,00,00,04,12
Yaounde I,Complexe Scolaire Ornel C,383,188,188,01,00,80,10,60,26,00,00,03,01,07
Yaounde I,Complexe Scolaire Pi Ju A,345,196,194,0,1,105,16,43,24,0,0,1,1,4
Yaounde I,Complexe Scolaire Pi Ju D,336,165,162,02,01,70,03,69,11,01,00,01,00,07
Yaounde I,Complexe Scolaire Pi Ju E,308,161,160,00,01,93,07,38,14,00,00,01,01,06
Yaounde I,Complexe Scolaire Pi Ju F,365,135,135,5,0,55,01,39,27,02,00,00,01,05
Yaounde I,Cplexe Scol Mariane Paul A,392,198,197,01,00,126,01,44,15,01,01,00,00,09
Yaounde I,Cplexe Scol Mariane Paul B,70,33,33,00,00,20,00,06,03,00,00,00,00,04
Yaounde I,Dgsn A,344,212,211,00,01,172,00,13,21,03,00,00,01,01
Yaounde I,Dgsn B,349,212,206,1,5,156,1,23,20,1,0,0,0,5
Yaounde I,Dgsn D,317,190,190,00,,132,00,38,17,00,00,00,01,02
Yaounde I,Dgsn F,369,155,155,00,00,120,01,11,20,00,00,00,00,03
Yaounde I,Dgsn G,135,68,67,0,1,50,0,9,5,0,0,1,0,2
Yaounde I,Dispensaire Beau Cesar A,378,226,222,3,1,143,3,44,18,3,2,1,1,7
Yaounde I,Dispensaire Beau Cesar B,371,183,183,0,0,115,1,43,13,1,0,2,1,7
Yaounde I,Dispensaire Beau Cesar C,268,205,205,0,0,106,0,68,17,1,0,1,0,7
Yaounde I,Dispensaire Beau Cesar D,363,213,213,0,0,143,2,40,19,2,0,3,1,3
Yaounde I,Dispensaire Beau Cesar E,346,173,173,00,00,78,00,72,11,03,02,03,00,04
Yaounde I,Dispensaire Beau Cesar F,380,147,147,02,00,95,01,29,11,02,00,04,00,03
Yaounde I,Dispensaire Beau Cesar G,379,185,185,00,00,101,03,46,19,02,00,04,01,09
Yaounde I,E Francophone De Bastos A,394,142,140,0,2,93,1,29,10,2,0,0,0,5
Yaounde I,E Francophone De Bastos D,338,175,173,2,0,100,3,32,27,1,0,0,3,7
Yaounde I,E M Bilingue Les Libellules B,323,144,143,00,01,99,00,24,16,00,00,00,02,02
Yaounde I,E M Bilingue Les Libellules C,168,90,90,00,00,58,00,19,11,00,00,00,00,02
Yaounde I,E M P Bilingue De Bastos A,397,191,189,2,0,106,2,39,31,0,0,1,1,9
Yaounde I,E M P Bilingue De Bastos B,384,153,152,1,0,74,4,43,21,0,1,0,1,8
Yaounde I,E M P Bilingue De Bastos C,389,172,171,0,0,92,1,41,29,2,0,0,1,5
Yaounde I,E M Privee La Pepiniere A,357,174,174,0,0,119,2,24,22,1,0,0,2,4
Yaounde I,E M Privee La Pepiniere F,332,140,139,1,0,82,2,19,30,2,0,1,0,3
Yaounde I,E M Privee Le Classique A,377,218,214,4,0,123,4,54,15,0,0,4,2,12
Yaounde I,E M Privee Le Classique B,393,149,149,0,0,80,2,34,22,0,0,0,1,10
Yaounde I,E M Privee Le Classique C,395,195,193,02,,124,00,52,13,00,00,00,01,03
Yaounde I,E M Privee Le Classique D,364,202,199,2,1,134,2,50,14,1,0,2,2,4
Yaounde I,E Mat Publique Nkolndom Ii A,365,264,264,0,0,229,1,20,13,1,0,0,0,0
Yaounde I,E P Bilingue De Njoanassi A,416,223,221,2,0,160,1,32,17,1,0,1,1,8
Yaounde I,E P De Mballa Ii A,370,169,165,00,04,118,01,22,15,00,00,01,02,06
Yaounde I,E P De Mballa Ii B,399,129,128,0,1,75,0,35,6,1,0,2,1,8
Yaounde I,E P De Mballa Ii C,370,189,188,1,0,112,2,44,18,1,0,0,4,7
Yaounde I,E P De Mballa Ii D,460,241,237,5,0,124,5,50,29,1,0,2,4,22
Yaounde I,E P De Mballa Vii A,371,192,191,1,1,137,2,27,21,0,0,1,1,2
Yaounde I,E P De Mballa Vii B,356,323,321,2,0,274,2,27,14,0,0,1,1,2
Yaounde I,E P De Mballa Vii C,344,129,128,1,0,100,0,11,11,0,0,1,0,5
Yaounde I,E P De Mballa Vii D,355,173,173,0,0,123,4,32,12,1,0,0,0,1
Yaounde I,E P De Mballa Vii E,168,73,73,3,1,46,1,12,10,0,0,0,0,1
Yaounde I,E P Detoa Meki C,325,163,163,03,00,100,02,27,27,00,01,03,00,02
Yaounde I,E P Detoa Meki D,321,188,188,00,00,127,03,29,19,01,01,03,00,05
Yaounde I,E P Maternelle Privee Le Flambeau A,329,138,135,3,0,67,0,53,11,1,1,0,1,1
Yaounde I,E P Mballa Iv A,375,257,256,1,0,160,3,66,16,0,0,1,1,9
Yaounde I,E P Mballa Iv B,379,212,211,1,0,104,1,78,18,0,1,0,1,8
Yaounde I,E P Mballa Iv C,353,169,168,01,,88,04,62,10,00,00,00,00,04
Yaounde I,E P Mballa Iv D,353,127,125,01,01,83,00,28,10,00,01,00,02,01
Yaounde I,E P Mballa Iv E,377,239,238,1,0,158,2,60,11,1,0,0,2,4
Yaounde I,E P Mballa Iv F,306,158,155,3,0,106,0,27,13,1,0,1,1,6
Yaounde I,E P Mballa Iv G,363,268,264,04,,187,00,57,09,00,01,04,01,06
Yaounde I,E P Mballa Iv H,370,218,218,0,0,101,2,70,28,1,0,2,2,12
Yaounde I,E P Mballa Iv I,368,193,195,1,1,85,0,67,25,2,0,3,2,11
Yaounde I,E P Mfandena I A,329,161,159,0,2,100,5,33,9,1,0,3,1,7
Yaounde I,E P Mfandena I B,339,149,147,2,0,84,0,30,18,1,1,3,1,8
Yaounde I,E P Mfandena I C,364,179,179,0,0,110,0,47,16,1,0,0,0,5
Yaounde I,E P Mfandena I D,205,74,73,1,0,43,1,12,10,0,0,5,0,2
Yaounde I,E P Nyom Ii A,350,212,212,0,0,159,0,34,15,0,0,0,0,4
Yaounde I,E P Nyom Ii B,320,178,176,1,1,132,0,30,10,0,0,1,0,3
Yaounde I,E P Nyom Ii C,316,212,212,0,0,144,1,37,22,1,0,2,1,4
Yaounde I,E P P Catholique St Aloys A,373,209,209,00,01,135,01,52,16,00,00,01,00,02
Yaounde I,E P P Catholique St Aloys B,388,167,165,02,,101,01,46,15,00,00,00,01,01
Yaounde I,E P P Catholique St Aloys C,379,179,179,00,00,121,00,32,18,01,00,02,01,01
Yaounde I,E P P Catholique St Aloys D,388,180,179,01,00,108,01,44,16,01,00,00,01,08
Yaounde I,E P P Catholique St Aloys E,353,168,167,01,,98,01,41,20,00,00,00,02,05
Yaounde I,E P P Catholique St Aloys F,392,171,170,01,,106,01,37,20,02,00,00,00,04
Yaounde I,E P Tsinga Village A,321,200,200,0,0,154,2,31,8,0,2,0,0,3
Yaounde I,E P Tsinga Village B,173,106,104,2,1,60,4,26,9,0,0,0,2,3
Yaounde I,E Pr Cnps A,326,188,187,01,00,60,00,101,20,01,00,02,01,02
Yaounde I,E Pr Cnps B,318,166,164,02,00,47,00,103,13,00,00,00,00,03
