COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde Iii,,,,,,,,,,,,,,,
Yaounde Iii,Brigade Du Quartier General A,380,280,277,3,0,256,0,4,13,0,0,0,0,4
Yaounde Iii,Brigade Du Quartier General B,378,247,246,0,1,215,2,11,10,2,0,0,1,5
Yaounde Iii,Brigade Du Quartier General C,376,258,255,3,0,206,1,19,19,2,0,1,1,6
Yaounde Iii,Brigade Du Quartier General D,401,329,332,02,02,282,01,18,12,03,00,03,00,13
Yaounde Iii,Brigade Du Quartier General F,377,220,220,00,00,176,00,16,14,00,00,00,02,12
Yaounde Iii,Brigade Du Quartier General G,359,245,242,3,0,188,3,27,11,0,1,0,0,12
Yaounde Iii,Brigade Du Quartier General H,365,229,227,0,2,184,0,16,16,2,0,1,0,8
Yaounde Iii,Brigade Du Quartier General I,343,190,190,01,01,159,02,10,09,01,00,00,00,08
Yaounde Iii,Brigade Du Quartier General J,358,166,166,00,00,134,01,17,09,00,00,00,01,04
Yaounde Iii,Brigade Du Quartier General K,375,234,233,00,01,199,01,14,11,01,00,01,01,05
Yaounde Iii,Brigade Du Quartier General M,436,187,186,0,1,67,3,78,27,1,0,0,1,9
Yaounde Iii,Brigade Du Quartier General N,312,229,228,0,1,183,1,15,22,0,0,2,0,5
Yaounde Iii,Brigade Du Quartier General O,396,215,212,0,3,168,0,23,15,1,0,0,0,5
Yaounde Iii,Centre De Sante Afanoyoa 4 A,390,269,267,00,02,245,00,12,08,01,00,00,01,00
Yaounde Iii,Cetic Ngoa Ekelle C,361,114,112,2,0,60,2,28,16,0,0,0,0,6
Yaounde Iii,Cetic Ngoa Ekelle D,343,139,144,01,00,50,01,56,31,00,00,00,00,05
Yaounde Iii,College Diderot A,401,218,217,1,0,116,1,56,34,1,1,0,0,8
Yaounde Iii,College Diderot B,404,198,198,0,0,113,1,40,39,3,1,0,0,1
Yaounde Iii,College Diderot C,433,210,210,0,0,103,2,52,41,2,0,0,1,9
Yaounde Iii,College Diderot D,419,208,207,1,0,106,1,41,53,1,1,1,0,3
Yaounde Iii,College Diderot E,360,219,217,2,0,114,1,39,48,0,0,2,1,12
Yaounde Iii,College La Rosiere A,385,220,220,0,0,64,2,124,11,0,0,0,0,19
Yaounde Iii,College La Rosiere B,422,253,250,3,0,79,0,118,26,2,0,3,3,19
Yaounde Iii,College La Rosiere C,389,227,226,01,00,100,00,83,29,01,00,00,00,13
Yaounde Iii,College La Rosiere D,373,177,177,0,0,83,0,56,22,1,0,0,2,12
Yaounde Iii,College La Rosiere E,392,192,191,1,0,76,0,92,9,0,1,0,0,13
Yaounde Iii,College La Rosiere F,393,200,199,0,1,80,0,90,18,1,0,0,2,8
Yaounde Iii,College La Rosiere G,381,164,163,1,1,44,0,93,14,0,0,0,1,11
Yaounde Iii,College La Rosiere H,396,214,211,3,0,100,0,80,16,1,2,0,2,10
Yaounde Iii,College La Rosiere J,352,141,139,0,1,44,1,60,21,0,0,0,2,11
Yaounde Iii,College La Rosiere K,342,162,162,0,0,26,0,118,11,0,1,0,2,4
Yaounde Iii,College La Rosiere L,379,179,178,1,1,57,0,91,18,0,0,0,0,12
Yaounde Iii,College La Rosiere O,449,219,219,0,0,72,1,96,29,1,0,1,3,16
Yaounde Iii,College La Rosiere P,384,187,185,02,00,80,01,62,30,01,00,00,03,08
Yaounde Iii,College La Rosiere Q,352,200,199,0,1,68,2,86,36,0,0,0,2,5
Yaounde Iii,College La Rosiere R,334,143,153,0,0,38,0,67,30,0,0,0,0,8
Yaounde Iii,College Les Futurs Boss A,377,190,190,00,00,154,00,12,23,00,00,00,00,01
Yaounde Iii,College Les Futurs Boss B,382,191,192,01,,135,01,20,290,00,00,02,01,02
Yaounde Iii,College Les Futurs Boss C,381,184,183,00,01,125,00,33,20,00,01,00,00,04
Yaounde Iii,College Les Futurs Boss D,313,122,122,00,,79,00,13,26,02,00,01,00,01
Yaounde Iii,College Les Futurs Boss F,320,130,130,00,00,82,00,28,17,01,00,00,00,02
Yaounde Iii,College Les Futurs Boss G,366,124,123,01,00,88,00,14,16,00,00,00,01,04
Yaounde Iii,College Les Futurs Boss H,303,121,120,00,01,64,00,40,15,00,00,00,00,01
Yaounde Iii,College Les Futurs Boss I,357,142,142,00,00,70,00,28,42,00,00,01,00,01
Yaounde Iii,College Vogt A,350,202,202,00,00,104,01,64,25,00,00,00,01,07
Yaounde Iii,College Vogt B,351,209,208,1,0,108,0,56,38,1,0,3,2,0
Yaounde Iii,College Vogt C,334,196,196,0,0,83,0,91,7,2,0,1,1,11
Yaounde Iii,College Vogt D,349,161,160,1,0,87,0,46,17,0,0,0,2,8
Yaounde Iii,College Vogt E,346,186,186,0,0,89,2,64,19,2,0,3,0,7
Yaounde Iii,College Vogt F,301,148,148,02,01,64,01,55,17,04,00,01,01,03
Yaounde Iii,College Vogt G,300,139,139,0,0,62,1,49,21,0,1,0,0,5
Yaounde Iii,College Vogt H,308,133,132,0,1,66,0,43,17,0,0,0,0,6
Yaounde Iii,College Vogt J,315,137,137,00,00,64,02,39,23,01,00,02,01,05
Yaounde Iii,College Vogt K,360,168,165,0,3,75,0,57,26,0,0,4,0,3
Yaounde Iii,College Vogt L,362,190,187,0,3,84,2,59,34,2,0,0,4,2
Yaounde Iii,College Vogt M,388,197,197,0,0,75,0,62,35,0,1,12,1,11
Yaounde Iii,College Vogt N,352,177,176,1,0,70,1,63,32,0,0,1,3,6
Yaounde Iii,College Vogt O,341,187,187,0,0,69,0,70,42,0,0,1,1,4
Yaounde Iii,College Vogt P,387,114,114,1,0,41,1,44,20,0,0,0,0,7
Yaounde Iii,Commissariat Ctral N 3 Efoulan A,250,109,109,00,,81,00,09,16,00,00,00,00,03
Yaounde Iii,Commissariat Special N 3 A,137,64,53,0,1,29,0,20,10,0,0,0,1,3
Yaounde Iii,E Bon Samaritain Ahala Ii B,350,185,185,00,,132,00,16,27,00,01,00,00,05
Yaounde Iii,E Bon Samaritain Ahala Ii C,336,169,168,0,1,105,0,30,25,0,0,1,0,7
Yaounde Iii,E Bon Samaritain Ahala Ii D,357,158,158,00,,123,01,23,11,08,00,00,00,04
Yaounde Iii,E Bon Samaritain Ahala Ii E,358,146,146,00,,90,01,16,31,00,00,00,01,07
Yaounde Iii,E Bon Samaritain Ahala Ii F,352,128,128,0,0,71,0,32,19,0,1,0,0,7
Yaounde Iii,E Ctre Administratif A,319,142,142,00,00,99,03,22,18,00,00,00,00,00
Yaounde Iii,E Ctre Administratif B,353,137,137,01,01,98,01,14,18,01,00,00,01,03
Yaounde Iii,E De Gendarmerie Mobile A,327,149,147,0,2,116,0,17,10,1,0,0,0,3
Yaounde Iii,E De Gendarmerie Mobile B,227,95,93,0,2,76,0,8,5,0,0,0,0,4
Yaounde Iii,E Du Plateau Atemengue A,393,190,189,01,00,87,01,62,20,01,00,00,02,16
Yaounde Iii,E Du Plateau Atemengue B,409,190,190,00,00,93,02,54,22,00,00,01,00,18
Yaounde Iii,E Du Plateau Atemengue C,403,166,165,01,00,68,00,58,26,03,00,01,01,08
Yaounde Iii,E Du Plateau Atemengue D,406,205,203,0,2,84,1,72,28,0,0,1,1,16
Yaounde Iii,E Du Plateau Atemengue E,411,177,176,0,1,54,1,82,30,1,1,0,0,7
Yaounde Iii,E Du Plateau Atemengue F,419,201,201,0,0,49,2,99,35,2,0,2,2,10
Yaounde Iii,E Du Plateau Atemengue G,360,175,174,0,1,39,1,99,22,0,2,1,0,10
Yaounde Iii,E Du Plateau Atemengue H,402,199,199,0,0,66,0,70,43,1,0,1,2,17
Yaounde Iii,E Du Plateau Atemengue I,438,206,206,0,0,45,3,99,36,3,0,0,0,20
Yaounde Iii,E Du Plateau Atemengue J,410,195,194,1,0,56,1,92,27,3,0,0,1,14
Yaounde Iii,E Du Plateau Atemengue K,356,197,198,1,0,42,1,113,27,1,0,2,1,10
Yaounde Iii,E Du Plateau Atemengue L,300,155,150,3,2,28,2,79,33,0,0,2,1,5
Yaounde Iii,E Mat Les Stephanois A,367,202,199,03,00,118,01,50,21,00,00,00,03,06
Yaounde Iii,E Mat Les Stephanois B,223,73,73,00,00,38,01,17,10,00,00,00,02,05
Yaounde Iii,E Mat Mekoumbou I A,101,76,75,01,,72,00,01,02,00,00,00,00,00
Yaounde Iii,E P Biyem Assi Ii A,401,244,243,1,0,90,1,116,14,0,0,0,4,18
Yaounde Iii,E P Biyem Assi Ii B,407,221,221,0,0,78,0,113,10,1,1,0,3,15
Yaounde Iii,E P Biyem Assi Ii C,408,174,174,0,0,57,0,70,20,0,2,0,9,16
Yaounde Iii,E P Biyem Assi Ii E,407,142,142,0,0,44,0,79,9,0,1,0,3,6
Yaounde Iii,E P Biyem Assi Ii F,395,159,158,0,1,43,0,76,22,0,2,0,2,13
Yaounde Iii,E P Efoulan A,420,220,224,01,,157,03,26,32,01,00,00,00,04
Yaounde Iii,E P Efoulan B,418,227,224,03,00,154,03,33,30,00,01,00,01,02
Yaounde Iii,E P Efoulan C,397,199,198,1,0,125,1,43,22,1,2,0,1,3
Yaounde Iii,E P Efoulan D,406,194,194,03,00,139,00,26,24,00,00,00,00,02
Yaounde Iii,E P Efoulan E,404,200,200,0,0,108,,42,44,0,0,0,1,5
Yaounde Iii,E P Efoulan F,414,181,177,01,03,103,01,23,46,00,00,01,00,03
Yaounde Iii,E P Efoulan G,393,173,171,2,0,101,0,44,22,1,0,0,0,3
Yaounde Iii,E P Efoulan H,390,176,173,03,00,91,01,30,44,01,00,01,00,05
Yaounde Iii,E P Efoulan I,369,209,211,0,1,107,0,39,56,4,0,0,1,3
Yaounde Iii,E P Efoulan J,401,191,191,00,,89,04,36,55,00,01,00,02,03
Yaounde Iii,E P Olezoa A,392,207,207,00,00,153,02,27,16,02,00,00,00,07
Yaounde Iii,E P Olezoa B,338,174,172,2,0,110,3,20,35,0,0,1,0,3
Yaounde Iii,E P Olezoa C,340,155,155,00,00,95,01,16,32,03,01,01,02,04
Yaounde Iii,E P Olezoa D,221,107,107,0,0,65,0,18,21,1,0,0,0,2
Yaounde Iii,E Ste Therese Ahala I C,411,227,226,0,1,144,0,43,32,0,0,2,0,5
