COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde Iv,,,,,,,,,,,,,,,
Yaounde Iv,C E S Dodza Meyo A,180,110,110,0,0,85,0,14,9,1,0,0,0,1
Yaounde Iv,C J A R C Ekie Nord A,398,218,217,1,0,91,2,92,20,2,0,2,0,8
Yaounde Iv,C J A R C Ekie Nord C,381,186,185,1,0,83,1,58,32,2,0,0,0,9
Yaounde Iv,C M A Dodza E,368,204,203,1,0,93,2,73,31,1,0,0,1,2
Yaounde Iv,Centre Formation Crtv A,255,127,127,0,0,95,1,13,9,1,0,2,0,6
Yaounde Iv,Cfta A,473,258,258,0,0,192,3,27,28,0,0,1,0,7
Yaounde Iv,College Gazolant B,382,165,160,5,0,58,0,79,9,3,0,0,1,10
Yaounde Iv,College Gazolant C,357,163,162,1,0,77,1,53,22,2,0,0,0,7
Yaounde Iv,College Gazolant D,387,211,207,4,0,81,0,95,22,1,0,3,0,5
Yaounde Iv,College Infirma Mundi A,239,188,186,2,0,172,1,3,9,01,0,0,0,0
Yaounde Iv,College Jardin Deden A,363,158,157,1,0,78,0,64,9,0,0,1,0,5
Yaounde Iv,College Jardin Deden C,241,79,79,0,0,28,0,33,13,0,0,1,1,3
Yaounde Iv,College Les Cartesiens A,371,186,186,0,0,124,0,40,20,0,1,0,0,1
Yaounde Iv,College Les Cartesiens B,91,51,51,0,0,35,0,12,3,0,0,0,0,1
Yaounde Iv,E Cath Messamendongo C,302,147,146,1,0,93,0,30,22,0,0,0,1,0
Yaounde Iv,E Cath Messamendongo D,357,170,169,1,0,94,0,33,37,2,0,0,0,3
Yaounde Iv,E Cath Messamendongo F,292,124,122,2,0,74,1,20,18,0,0,0,1,8
Yaounde Iv,E P Ekoumdoum A,399,211,210,1,0,124,1,59,19,1,0,0,2,4
Yaounde Iv,E P Ekounou I A,431,215,213,2,0,139,1,33,34,1,0,0,1,4
Yaounde Iv,E P Ekounou I B,436,199,199,0,0,118,1,43,29,2,0,1,0,5
Yaounde Iv,E P Ekounou Ii B,461,196,194,2,0,128,0,34,27,0,0,0,1,4
Yaounde Iv,E P Ekounou Ii C,430,199,199,0,0,139,1,33,23,0,0,0,1,2
Yaounde Iv,E P Nkomo D,409,152,151,1,0,90,0,37,22,0,0,0,1,1
Yaounde Iv,E Pr Metropolitaine A,323,161,160,1,0,71,1,65,6,3,0,0,0,14
Yaounde Iv,E Pr Metropolitaine B,349,167,166,1,0,74,1,70,12,0,1,0,1,7
Yaounde Iv,E Pr Metropolitaine C,339,128,128,0,0,50,0,59,8,0,1,0,1,9
Yaounde Iv,E Pr Metropolitaine E,241,90,89,1,0,45,0,34,8,0,0,0,0,2
Yaounde Iv,Ecole La Reference A,320,196,193,3,0,147,0,16,24,0,0,0,2,4
Yaounde Iv,Ecole Privee De Savoir A,375,208,208,0,0,154,1,25,23,0,0,0,0,5
Yaounde Iv,Ecole Privee De Savoir B,391,170,168,2,0,132,1,16,17,1,0,0,0,1
Yaounde Iv,Ecole Privee De Savoir C,167,60,60,0,0,38,0,14,3,0,0,0,0,5
Yaounde Iv,Ecole Privee La Mere Des Enfants A,340,168,167,1,0,112,1,32,20,0,0,0,0,2
Yaounde Iv,Ecole Privee La Mere Des Enfants D,327,146,144,2,0,77,1,46,17,1,0,0,0,2
Yaounde Iv,Ecole Privee La Mere Des Enfants F,281,80,80,0,0,30,0,34,10,0,0,0,3,2
Yaounde Iv,Ecole Privee Ndema A,400,194,192,2,0,131,1,33,20,0,0,0,0,7
Yaounde Iv,Ecole Privee Noula B,414,193,192,1,0,86,0,66,31,1,0,1,0,7
Yaounde Iv,Ecole Publique Mvan A,405,190,188,2,0,126,2,27,28,0,0,0,1,4
Yaounde Iv,Ecole Publique Mvan B,424,206,205,1,0,148,1,22,30,1,0,0,0,3
Yaounde Iv,Groupe Scolaire Pilote B,270,121,119,2,0,80,1,23,8,1,1,0,1,4
Yaounde Iv,Groupe Scolaire Pilote C,418,135,135,0,0,67,1,44,14,01,1,0,1,6
Yaounde Iv,Impm Nkomo Ii Nord B,366,177,174,3,0,67,1,88,12,0,0,2,1,3
Yaounde Iv,Institut Ifp Chec Odza Iii B,181,41,41,0,0,24,1,9,4,0,0,1,0,2
Yaounde Iv,Lycee Dekounou A,413,198,198,0,0,99,1,61,21,1,0,1,0,14
