COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde V,,,,,,,,,,,,,,,
Yaounde V,Alberto Ecole Mat Prim B,352,204,203,0,0,83,0,72,30,5,0,2,3,8
Yaounde V,Alberto Ecole Mat Prim E,296,127,127,0,0,40,1,68,11,1,1,1,1,3
Yaounde V,College Mongo Beti I A,392,196,196,1,0,129,2,37,26,0,0,0,1,0
Yaounde V,College Mongo Beti I B,401,164,162,2,2,94,3,39,19,2,0,3,1,1
Yaounde V,College Mongo Beti Ii A,380,152,152,0,0,87,0,31,31,0,2,0,0,1
Yaounde V,College Mongo Beti Ii B,382,148,146,2,0,82,1,29,29,1,0,1,2,1
Yaounde V,College Montesquieu I A,403,221,221,1,0,168,2,23,21,1,0,1,0,4
Yaounde V,College Montesquieu I B,402,171,169,02,00,112,03,17,35,00,00,00,01,00
Yaounde V,College Montesquieu Ii B,310,115,116,0,0,78,0,13,24,0,0,0,0,1
Yaounde V,College Ndjankeu B,424,217,217,1,0,72,1,101,28,3,1,5,1,4
Yaounde V,College Prive Les Chanterelles A,417,214,212,1,1,88,3,65,40,2,2,1,1,10
Yaounde V,College Privee Les Lilas A,334,200,198,0,2,57,1,103,25,2,1,1,2,6
Yaounde V,College Privee Les Lilas C,333,172,0,0,0,60,0,87,18,0,0,0,1,6
Yaounde V,College Privee Les Lilas D,317,154,151,1,2,41,2,76,24,0,1,1,1,5
Yaounde V,College Privee Les Lilas E,369,195,193,0,0,65,1,88,32,1,0,0,0,6
Yaounde V,College Privee Les Lilas F,336,186,185,1,0,73,0,81,29,1,0,0,0,1
Yaounde V,College Saint Augustin B,369,127,127,00,00,66,000,42,16,00,00,01,01,01
Yaounde V,Dispensaire Mvog Ada B,368,175,175,00,00,113,01,16,35,01,01,01,01,06
Yaounde V,E Mat Les Biquettins B,361,165,162,1,2,68,1,69,18,1,0,1,1,3
Yaounde V,E Mat Les Biquettins C,314,100,98,0,2,34,0,36,22,0,0,0,1,5
Yaounde V,E Mat Les Louvetaux A,364,196,195,0,1,56,0,123,9,2,1,0,0,4
Yaounde V,E Mat Les Louvetaux B,341,183,182,1,0,47,0,117,8,0,1,0,1,9
Yaounde V,E Mat Les Petits Futes A,437,258,257,1,0,66,1,160,15,2,1,1,2,9
Yaounde V,E Mat Les Petits Futes B,435,199,198,0,1,59,1,110,16,0,2,4,2,4
Yaounde V,E Mat Les Petits Futes C,415,182,181,1,0,51,1,107,14,1,2,1,1,4
Yaounde V,E Mat Les Petits Futes D,421,185,185,0,0,58,0,109,14,1,0,0,1,2
Yaounde V,E Mat Les Petits Futes E,432,206,204,2,0,55,0,133,12,0,0,0,1,3
Yaounde V,E Mat Les Petits Futes F,418,192,19,0,1,54,0,104,27,0,0,1,0,5
Yaounde V,E Mat Sainte Helene A,381,200,198,02,00,145,02,18,33,00,00,00,00,00
Yaounde V,E Mat Yves Et Les Majorettes I A,416,208,206,2,0,82,0,71,51,0,1,0,0,1
Yaounde V,E Mat Yves Et Les Majorettes I B,449,210,208,02,0,74,1,75,50,0,0,0,1,7
Yaounde V,E Mat Yves Et Les Majorettes Ii A,380,216,214,2,0,88,1,81,36,0,1,0,1,6
Yaounde V,E Mat Yves Et Les Majorettes Ii B,349,149,148,1,0,57,0,57,28,2,0,0,1,3
Yaounde V,E Mat Yves Et Les Majorettes Ii C,368,169,167,02,0,61,2,57,42,1,0,0,0,4
Yaounde V,E Pr La Branche Du Succes A,438,195,193,2,0,81,2,71,24,0,1,2,3,9
Yaounde V,Ecole Les Modeles A,206,117,117,0,0,31,1,67,10,0,1,2,1,4
Yaounde V,Ecole Mat Prim Cesam Crera A,317,146,145,0,1,79,0,40,16,0,1,0,0,9
Yaounde V,Ecole Mat Prim Cesam Crera B,307,150,148,2,0,71,2,41,19,0,0,1,3,11
Yaounde V,Ecole Notre Dame Des Victoires I A,334,145,145,0,0,91,1,27,22,1,1,0,0,2
Yaounde V,Ecole Notre Dame Des Victoires Iii A,453,217,217,00,00,133,01,33,38,01,01,02,02,06
Yaounde V,Ecole Prim Et Mat Les Allouettes A,380,205,205,1,2,111,5,53,22,0,1,5,0,5
Yaounde V,Ecole Prim Et Mat Les Allouettes B,367,160,160,0,0,71,1,52,26,1,0,3,1,5
Yaounde V,Ecole Prim Et Mat Les Allouettes C,374,159,159,2,0,56,4,57,24,1,0,3,3,9
Yaounde V,Ecole Publique De Mfandena A,478,209,209,00,00,117,01,39,38,03,01,01,01,08
Yaounde V,Ecole Publique De Mfandena B,376,185,185,00,00,103,01,42,29,00,01,02,00,07
Yaounde V,Ecole Publique De Mfandena C,363,200,200,00,00,96,02,50,43,02,00,02,00,05
Yaounde V,Ecole Publique De Mfandena D,356,129,129,00,00,73,02,25,20,01,00,00,01,05
Yaounde V,G S B La Republique A,287,187,185,00,02,77,01,85,17,00,00,00,00,05
Yaounde V,G S B Lembryon A,463,269,268,1,0,154,0,89,19,0,0,2,1,3
Yaounde V,G S B Polyvalent Les Colombes A,393,239,237,00,02,90,01,117,21,02,00,01,01,04
Yaounde V,G S B Polyvalent Les Colombes B,406,210,209,01,,71,00,111,11,02,01,00,02,05
Yaounde V,Gpe Scol Bil Majio B,407,196,196,3,0,84,1,63,33,3,0,0,2,7
Yaounde V,Gpe Scol Le Bon Temps A,375,189,187,01,01,73,00,101,10,01,00,00,00,02
Yaounde V,Gpe Scol Le Bon Temps B,363,212,212,00,00,59,00,136,13,00,00,00,00,04
Yaounde V,Gpe Scol Le Bon Temps C,366,182,181,01,00,55,01,95,24,00,00,01,00,05
Yaounde V,Gpe Scol Les Petits Anges A,369,195,191,1,3,90,3,38,47,5,0,3,0,5
Yaounde V,Gpe Scol Les Petits Anges B,370,150,150,0,0,84,2,26,29,0,0,3,0,6
Yaounde V,Gpe Scol Les Petits Anges C,324,137,136,1,0,65,0,28,36,0,1,1,2,3
Yaounde V,Gpe Scol Les Petits Anges D,317,115,115,0,0,66,1,14,25,1,1,2,3,2
Yaounde V,Gpe Scol Les Petits Anges E,347,128,127,1,0,61,1,19,32,2,0,7,1,4
Yaounde V,Gpe Scol Les Petits Anges F,315,116,115,0,0,68,1,18,23,1,0,0,0,4
Yaounde V,Gpe Scol Mewoulou A,358,218,218,00,00,103,02,88,19,00,01,03,00,07
Yaounde V,Grpe Scol Dominique Savio A,412,188,185,3,0,87,3,61,23,0,1,1,1,8
Yaounde V,Grpe Scolaire Bilingue La Samaga A,349,189,189,0,0,106,0,60,9,0,,2,1,11
Yaounde V,Grpe Scolaire Bilingue La Samaga B,340,187,187,0,0,61,0,100,23,1,0,0,2,0
Yaounde V,Grpe Scolaire Bilingue La Samaga C,309,177,177,0,0,92,0,56,22,0,1,1,1,4
Yaounde V,Institut Saint Andre A,371,181,179,02,00,117,00,28,27,1,00,02,01,03
Yaounde V,La Luciole A,165,82,82,1,0,56,1,4,19,0,1,0,0,0
Yaounde V,Lycee De Ngoulmekong J,346,157,155,2,0,64,1,54,31,0,0,0,1,4
