COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde Vii,,,,,,,,,,,,,,,
Yaounde Vii,Bat Adm Irad A,410,194,194,0,1,100,1,52,23,1,0,1,3,12
Yaounde Vii,Bat Adm Irad B,99,56,56,0,0,18,1,17,17,0,0,0,0,3
Yaounde Vii,Centre De Sante Ebod Mefou A,333,186,186,2,0,125,0,42,11,1,0,1,4,4
Yaounde Vii,Centre De Sante Ebod Mefou B,350,173,173,1,0,113,1,42,12,1,0,0,0,3
Yaounde Vii,Centre De Sante Ebod Mefou C,367,180,179,1,0,83,5,59,1,0,0,1,0,11
Yaounde Vii,Club Agronomique A,348,353,181,0,0,102,3,41,27,0,0,0,1,7
Yaounde Vii,College De La Paix A,409,207,207,01,0,80,0,91,17,1,1,0,2,14
Yaounde Vii,College De La Paix B,431,234,234,0,0,86,4,107,16,1,3,1,0,16
Yaounde Vii,College De La Paix C,401,173,173,4,1,63,0,81,12,1,0,1,1,10
Yaounde Vii,E Mat Nnom Nnam A,438,223,223,0,1,82,1,112,20,0,0,1,1,5
Yaounde Vii,E P Ekorozock B,370,150,149,1,0,81,2,46,13,0,1,0,2,4
Yaounde Vii,E P Ekorozock C,368,165,165,0,1,75,0,73,12,0,0,0,1,3
Yaounde Vii,E P Nkolbisson C,384,172,171,1,0,107,3,24,24,0,1,0,0,11
Yaounde Vii,E P Nkolbisson E,383,160,160,0,1,96,3,33,23,0,0,1,0,3
Yaounde Vii,E P Oyom Abang C,390,170,170,1,0,103,1,37,25,0,0,0,0,3
Yaounde Vii,E P Oyom Abang E,373,158,158,0,0,85,1,48,18,1,0,0,2,3
Yaounde Vii,E Pr B A A,404,213,213,3,2,90,1,89,20,0,1,0,1,8
Yaounde Vii,E Pr B A C,187,190,100,4,3,48,1,28,16,0,0,0,1,2
Yaounde Vii,E Pr Kamdzona A,398,215,215,0,0,165,1,26,18,0,0,0,0,5
Yaounde Vii,E Pr Les Mbomielithes A,369,215,215,1,0,109,0,58,35,2,2,3,0,5
Yaounde Vii,E Pr Les Mbomielithes B,372,178,178,1,0,96,4,48,28,0,1,0,0,0
Yaounde Vii,E Pr Les Mbomielithes C,356,174,174,0,0,85,0,46,38,0,0,0,1,3
Yaounde Vii,E Pr Tebap A,432,195,195,1,0,104,1,62,18,0,0,0,1,8
Yaounde Vii,E Pr Tebap B,440,187,186,1,1,73,5,69,16,0,0,0,1,11
Yaounde Vii,E Pr Theresia Ngondi A,320,191,191,0,1,101,0,68,18,1,0,0,0,2
Yaounde Vii,E Pr Theresia Ngondi B,326,153,152,1,1,91,0,37,19,1,0,0,0,2
Yaounde Vii,E Pr Theresia Ngondi D,340,165,165,0,0,78,0,44,34,1,0,1,1,6
Yaounde Vii,E Privee Le Germinal A,103,49,49,0,0,25,1,11,10,1,0,0,0,1
Yaounde Vii,Ecole Damelie B,353,165,165,1,0,80,1,58,19,0,1,1,0,4
Yaounde Vii,Ecole Publique Fam Assi A,384,345,50,0,0,290,2,43,12,0,0,0,1,2
Yaounde Vii,Ecole Publique Fam Assi B,143,113,113,0,0,74,0,30,7,0,0,0,0,2
Yaounde Vii,G S Bil Onana Jeanne A,141,74,74,1,0,48,1,14,7,1,0,0,0,2
Yaounde Vii,Goupe Scolaire La Ruche A,389,207,207,4,1,130,1,40,26,0,0,1,1,3
Yaounde Vii,Salle Des Actes De La Mairie A,401,203,203,0,0,133,0,33,28,2,0,0,1,6
