COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Baham,,,,,,,,,,,,,,,
Baham,Centre Multifonctionnel A,,,,,,54,,110,,,,,,
Baham,Centre Multifonctionnel B,,,,,,44,,27,,,,,,
Baham,Csi De Bahiala A,,,,,,125,,181,,,,,,
Baham,Csi De Bahiala B,,,,,,95,,26,,,,,,
Baham,Csi De Bapi A,,,,,,169,,55,,,,,,
Baham,Ep Banka A,,,,,,58,,127,,,,,,
Baham,Ep Banka B,,,,,,52,,110,,,,,,
Baham,Ep Chengne A,,,,,,113,,124,,,,,,
Baham,Ep Du Centre A,,,,,,46,,111,,,,,,
Baham,Ep Du Centre B,,,,,,44,,61,,,,,,
Baham,Ep Du Centre C,,,,,,42,,96,,,,,,
Baham,Ep Du Centre D,,,,,,79,,114,,,,,,
Baham,Ep Gengarmerie A,,,,,,113,,80,,,,,,
Baham,Ep Gengarmerie B,,,,,,49,,11,,,,,,
Baham,Ep Mafoche A,,,,,,76,,126,,,,,,
Baham,Ep Mafoche B,,,,,,14,,65,,,,,,
Baham,Ep Poumze A,,,,,,113,,173,,,,,,
Baham,Fc Lagweu A,,,,,,23,,184,,,,,,
Baham,Fc Lagweu B,,,,,,35,,186,,,,,,
Baham,Lycee Bilingue De Baham A,,,,,,17,,55,,,,,,
Baham,Mc Penkwa A,,,,,,63,,79,,,,,,
Baham,Mc Poumze A,,,,,,53,,62,,,,,,
Baham,Mc Saint Andre A,,,,,,26,,87,,,,,,
