COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Penka Michel,,,,,,,,,,,,,,,
Penka Michel,C S I Bamendou Chefferie A,342,221,,3,,86,2,99,2,0,,0,4,25
Penka Michel,Ces Bilingue De Ngouang A,257,156,,5,,28,2,94,0,2,,1,1,22
Penka Michel,Cetic Bamendou King Place A,367,234,,,,108,0,104,0,1,,0,,6
Penka Michel,Cooperative Batoula A,160,117,,,,61,1,49,0,0,,2,0,5
Penka Michel,Ec Bamendou Leo A,175,134,,1,,76,2,36,4,1,,4,1,7
Penka Michel,Ec Bamendou Poping A,198,145,,,,80,1,42,2,1,,1,2,15
Penka Michel,Ep Dedeng A,194,142,,1,,67,0,65,2,0,,0,1,4
Penka Michel,Ep Messing A,202,160,,1,,120,2,30,0,1,,1,1,4
Penka Michel,Ep Nguimeto A,184,130,,,,53,0,63,2,0,,0,1,8
Penka Michel,Ep Nkotsa A,450,411,,1,,85,0,212,1,0,,0,0,9
Penka Michel,Ep Nkotsa B,54,36,,,,18,0,17,1,0,,0,0,0
Penka Michel,Ep Panni A,223,154,,,,97,0,44,0,0,,0,4,4
Penka Michel,Foyer Balefock A,336,232,,,,87,2,99,2,5,,3,3,24
Penka Michel,Foyer Batoula A,198,136,,1,,57,6,40,2,1,,4,3,17
Penka Michel,Foyer Messing A,213,145,,2,,58,0,69,1,3,,3,0,6
