COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Yaounde I,,,,,,,,,,,,,,,
Yaounde I,Aspca Cabinet De Soins Ekombitie A,97,70,70,00,00,55,00,13,07,00,00,00,01,02
Yaounde I,C S Iplex B,395,188,186,2,0,101,1,53,17,1,1,5,1,6
Yaounde I,C S Iplex C,,,,,,74,01,49,17,00,02,03,03,06
Yaounde I,C S Iplex E,334,145,144,0,1,73,1,56,11,0,0,1,1,1
Yaounde I,C S Iplex F,344,131,131,0,0,76,1,26,18,1,1,4,2,2
Yaounde I,C S Iplex G,352,127,126,1,0,51,0,54,10,0,0,1,1,9
Yaounde I,C S Iplex H,348,137,142,1,0,69,1,39,21,0,1,6,0,5
Yaounde I,C S Iplex I,344,313,311,0,2,205,0,62,30,1,1,3,0,9
Yaounde I,C S Iplex J,348,191,191,0,0,78,2,69,30,0,1,5,1,5
Yaounde I,Cabinet St Raphael A,420,231,227,01,03,172,00,29,19,02,00,00,00,05
Yaounde I,Cabinet St Raphael B,406,171,171,0,0,123,0,32,12,1,0,0,1,2
Yaounde I,Cabinet St Raphael C,40,18,20,0,0,14,0,2,4,0,0,0,0,0
Yaounde I,Centre De Sante Bonne Volonte A,135,96,100,01,00,78,00,22,09,00,00,00,00,00
Yaounde I,Centre De Sante Zogo Abena A,275,170,167,3,0,116,4,23,20,2,0,1,0,1
Yaounde I,Cetic Charles Atangana A,307,133,132,0,1,80,1,18,27,0,0,0,0,6
Yaounde I,Cetic Charles Atangana B,302,127,125,2,1,69,2,27,18,0,0,2,0,6
Yaounde I,Cetic Charles Atangana C,332,142,142,00,00,85,01,26,18,00,00,00,01,11
Yaounde I,Cetic Charles Atangana D,317,148,146,02,,85,02,24,19,01,00,00,02,13
Yaounde I,Cetic Communal A,265,128,128,00,00,86,00,21,13,02,01,00,00,05
Yaounde I,Chambre Dagriculture A,420,209,207,2,0,122,0,44,35,3,0,1,0,2
Yaounde I,Club Camtel A,326,141,140,0,1,109,2,20,8,0,0,0,0,1
Yaounde I,Club Camtel D,336,131,131,01,00,88,01,23,14,00,00,00,00,04
