COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Bangangte,,,,,,,,,,,,,,,
Bangangte,Dispensaire Bamena A,422,159,159,03,0,62,0,81,04,01,0,01,01,06
Bangangte,District De Sante De Bgte B,399,176,,04,0,79,01,80,04,0,0,01,01,12
Bangangte,Ecole Maternelle Bilingue Quartier 2 A,413,200,200,04,02,79,04,90,08,01,01,01,01,12
Bangangte,Ecole Maternelle Bilingue Quartier 2 B,,,,,,84,02,77,03,02,00,00,02,11
Bangangte,Ep Groupe 4 D,349,187,183,04,00,59,01,108,07,00,00,01,03,04
Bangangte,Ep Kamna B,,40,40,01,00,12,00,23,00,01,00,00,01,02
Bangangte,Ep Kontap A,317,192,,,,102,04,100,02,03,00,01,03,10
Bangangte,Foyer Bandjoun De Bgte A,460,271,215,06,00,106,00,135,09,01,01,00,01,04
Bangangte,Foyer Bandjoun De Bgte B,399,145,145,00,00,41,00,89,07,03,01,00,00,04
Bangangte,Foyer Ndepnou A,272,178,178,02,02,76,03,82,01,00,02,01,01,08
Bangangte,Lycee Classique De Bgte A,444,298,298,00,00,185,06,80,09,00,02,00,03,01
Bangangte,Lycee De Babou A,104,101,101,00,00,87,00,08,04,00,01,00,00,01
Bangangte,Lycee Technique De Bgte C,97,37,37,00,00,22,00,22,00,00,00,00,00,01
