COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Batcham,,,,,,,,,,,,,,,
Batcham,C E S De Bantsiet A,288,234,233,1,0,112,3,88,4,1,1,3,2,19
Batcham,Centre De La Jeunesse A,319,210,209,,1,137,3,57,1,,,1,3,7
Batcham,Ces De Bebakouo A,290,220,217,1,2,110,4,76,2,1,8,4,3,9
Batcham,College Polyvalent De Konti A,327,252,249,2,1,161,,66,,,,,,22
Batcham,Cooperative De Nzindong A,411,284,276,8,1,156,4,94,3,2,,2,2,13
Batcham,E P De Badengang Bangang A,359,261,258,2,1,162,3,62,5,1,6,,2,18
Batcham,E P De Bakui A,183,170,170,1,,131,1,21,,,4,2,1,9
Batcham,E P De Balafotio Chefferie A,149,117,116,,1,88,1,19,1,,,,,7
Batcham,E P De Baleghang A,248,191,190,1,,135,,37,1,2,1,1,,13
Batcham,E P De Baleghang B,234,173,175,1,,118,,39,1,1,1,,3,12
Batcham,E P De Balena A,419,339,334,4,1,183,3,114,1,,1,1,2,29
Batcham,E P De Balena B,412,304,300,3,1,136,,130,2,,,1,4,27
Batcham,E P De Balepi A,203,178,166,2,,83,2,59,1,1,2,2,3,13
Batcham,E P De Bambi A,289,212,208,3,1,134,,56,,,1,,,17
Batcham,E P De Bambi B,286,202,197,5,,108,,47,1,,,,12,29
Batcham,E P De Bamboue I A,382,301,300,1,,222,3,51,,1,3,2,6,10
Batcham,E P De Bamboue I B,308,,,,,204,,62,4,1,2,5,3,16
Batcham,E P De Bamboue I C,294,199,197,2,,140,,50,,,,1,3,3
Batcham,E P De Bameboro A,265,188,187,,1,108,,57,3,1,1,1,,16
Batcham,E P De Bamougong Chefferie A,342,255,251,4,,184,1,41,,1,3,1,3,17
Batcham,E P De Bangouang A,433,306,301,5,,169,5,106,,,2,1,3,15
Batcham,E P De Bapepa A,376,294,291,3,,188,1,74,3,1,1,1,2,20
Batcham,E P De Bapepa B,351,221,217,4,,131,1,72,1,,1,,,5
Batcham,E P De Batcham Chefferie A,378,304,297,7,,199,2,61,4,3,3,1,1,23
Batcham,E P De Batcham Chefferie B,287,190,189,,,112,1,55,1,,,,2,18
Batcham,E P De Batoumbi A,302,236,232,4,,142,1,63,,1,,,6,20
Batcham,E P De Bazimbap A,410,336,328,5,3,199,1,105,3,1,3,,2,14
Batcham,E P De Medoumgong A,485,420,418,2,,315,1,72,1,2,,,3,24
Batcham,E P De Nzindong A,342,247,242,5,,133,3,83,1,1,2,1,2,12
Batcham,E P De Tchuelekouet A,316,239,238,1,,155,3,55,5,2,2,1,2,13
Batcham,E P De Tchuelekouet B,287,210,209,1,,138,,55,,,,,,16
Batcham,E P Du Centre Urbain A,369,228,227,1,,107,1,96,2,2,1,1,4,13
Batcham,E P Du Centre Urbain B,114,60,59,1,,28,1,26,1,1,,,,
Batcham,Ecole Cath De Bamefo A,245,204,198,4,2,143,,42,1,4,1,,,7
Batcham,Ecole Cath De Bameghuie A,290,239,232,6,1,156,,68,,,,,,8
Batcham,Ecole Cath De Bangouang A,284,266,262,4,,178,,71,,,,1,,12
Batcham,Ecole Cath De Bangouang B,268,225,222,3,,138,1,66,1,,2,,1,13
Batcham,Ecole Cath De Bangueala Bangang A,248,174,172,2,,125,,27,,,,,,19
Batcham,Ecole Cath De Banguie A,345,,,,,169,,55,1,,,,1,15
Batcham,Ecole Cath De Batchuetio A,396,335,328,4,3,240,3,50,3,2,3,1,1,25
Batcham,Ecole Cath De Batchuetio B,391,293,290,3,,206,1,41,1,1,1,2,4,33
Batcham,Ecole Cath De Batoumoc A,200,162,161,1,,100,1,47,2,,,1,3,6
Batcham,Ecole Cath De Batsepou A,291,249,248,,1,158,,48,,,,12,,30
Batcham,Ecole Cath De Metio A,,,,,,157,,112,2,1,1,9,,56
Batcham,Ecole Cath De Metio B,371,288,288,2,,111,2,105,5,4,3,,4,52
Batcham,Ecole Cath De Metio C,388,221,218,3,,74,2,103,6,,,1,1,31
Batcham,Ecole Cath St Jacques De Bangang A,260,183,182,1,,124,1,41,2,,,1,1,12
Batcham,Ecole Cebec De Balakam A,404,355,353,2,,202,9,117,1,3,1,1,2,17
Batcham,Ecole Cebec De Baletsi A,312,240,240,3,,221,1,102,1,1,,,,11
Batcham,Ecole Cebec De Bamboue Bangang A,243,158,155,3,,101,1,42,,,,1,,10
Batcham,Ecole Cebec De Bamboue Bangang B,262,199,191,3,5,188,1,56,,,,3,,13
Batcham,Ecole Cebec De Bamemba A,230,217,213,4,,154,1,41,3,1,1,4,2,6
Batcham,Ecole Cebec De Bamendou Bangang A,148,125,125,,,93,,23,1,,,1,1,6
Batcham,Ecole Cebec De Bamessang A,411,296,294,2,,192,1,67,4,1,3,2,4,20
Batcham,Ecole Cebec De Bataki A,261,206,210,6,3,120,1,57,1,,7,3,3,8
Batcham,Ecole Cebec De Bataki B,253,244,242,2,,187,,45,,,,,,10
Batcham,Ecole Cebec De Konkeua A,217,171,170,1,,116,,41,,,,1,,12
Batcham,Ecole Cebec De Mena A,350,251,245,6,,187,1,187,2,1,1,1,2,18
Batcham,Ecole Cebec De Nzong A,220,129,128,1,,79,,30,5,2,1,,1,10
Batcham,Ecole Cebec De Nzong B,224,128,126,1,1,86,,29,,1,2,,1,7
Batcham,Foyer Bakapfong A,261,195,194,1,,119,,48,,,1,3,,23
Batcham,Foyer Bakapfong B,263,190,188,1,,123,1,38,5,,3,3,,13
Batcham,Foyer De Baghang I A,312,255,251,4,,118,,97,2,,1,13,1,19
Batcham,Foyer De Balafotio A,396,272,270,2,,172,,70,,,,13,,15
Batcham,Foyer De Baletia A,375,244,263,1,,116,,120,,,,,,33
Batcham,Foyer De Balie A,305,219,218,1,,137,,51,5,1,1,6,1,16
Batcham,Foyer De Bameboro A,292,232,230,3,1,133,2,53,1,1,,1,3,33
Batcham,Foyer De Bameghang A,316,256,255,1,,181,,56,1,,,,8,9
Batcham,Foyer De Bameguea A,329,236,234,2,,127,6,59,2,,1,10,4,25
Batcham,Foyer De Bamembou A,347,262,258,4,1,157,,82,,,,,,19
Batcham,Foyer De Bangouo A,305,228,226,2,,93,1,107,3,3,2,3,7,7
Batcham,Foyer De Bantsa A,282,219,217,2,,140,3,36,2,5,6,3,1,21
Batcham,Foyer De Tomogo I A,268,220,214,3,3,134,,58,1,,,1,1,19
Batcham,Lycee De Bametim Bangang A,211,169,166,3,,85,1,48,1,,3,1,12,15
Batcham,Lycee De Bametim Bangang B,206,167,162,5,,87,3,36,3,,2,,9,22
Batcham,Lycee De Bamougong A,276,261,260,1,,192,,47,,1,,,1,19
Batcham,Lycee De Bamougong B,273,200,199,,1,144,,33,,,,1,,21
Batcham,Lycee De Bangang A,196,123,121,2,,80,1,21,1,1,2,,2,13
Batcham,Lycee Technique De Batcham A,358,284,281,3,,204,,51,,,2,,,24
