COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Malantouen,,,,,,,,,,,,,,,
Malantouen,Centre Evangelique De Mantambouoh A,246,213,212,1,0,75,1,9,1,1,0,127,0,0
Malantouen,Cepca Manje Koutou A,318,,,,,120,7,5,2,0,0,75,1,1
Malantouen,Cepca Njighait A,132,99,99,0,0,38,1,3,0,1,0,56,0,0
Malantouen,E P De Malong A,94,86,86,0,0,84,0,1,0,0,0,1,0,0
Malantouen,Ecole Franco Islamic De Mankare A,365,286,284,2,1,138,2,3,0,0,0,141,0,0
Malantouen,Ecole Franco Islamique Manjouom A,147,114,113,0,1,50,0,4,0,0,0,59,0,0
Malantouen,Ecole Franco Islamique Njingbabayit A,301,201,198,2,3,51,1,17,0,2,0,126,1,0
Malantouen,Ecole P Bil De Makoutam Plateau A,239,147,146,0,1,35,2,3,0,1,1,103,1,0
Malantouen,Ecole Publique Bilingue De Feripa A,,,,,,74,1,5,1,1,0,108,2,8
Malantouen,Ecole Publique De Koutou Matam A,137,127,127,0,0,52,2,1,1,1,0,68,0,0
Malantouen,Ecole Publique De Mafouatie A,161,119,118,1,0,91,0,3,0,0,0,24,0,0
Malantouen,Ecole Publique De Makoundou A,,,,,,87,2,1,3,0,0,159,1,0
Malantouen,Ecole Publique De Makoutam A,266,204,202,0,2,53,4,1,0,0,1,141,0,2
Malantouen,Ecole Publique De Mambayen A,68,43,43,0,0,15,0,2,4,0,0,22,0,0
Malantouen,Ecole Publique De Mambicham A,127,90,90,0,0,28,2,4,0,1,0,55,0,0
Malantouen,Ecole Publique De Manda A,341,279,277,1,1,91,0,16,0,0,0,170,0,0
Malantouen,Ecole Publique De Manje Koutou A,159,85,85,0,0,46,2,0,1,0,0,36,0,0
Malantouen,Ecole Publique De Manje Magnit A,134,95,94,1,0,40,1,2,0,0,1,51,0,0
Malantouen,Ecole Publique De Mantoum Village A,414,257,254,1,2,89,3,8,4,1,1,147,1,0
Malantouen,Ecole Publique De Marapndoum A,296,169,166,2,1,81,3,6,4,3,1,65,0,3
Malantouen,Ecole Publique De Maren A,140,113,112,1,0,55,2,2,1,0,1,49,0,0
Malantouen,Ecole Publique De Matachom A,217,150,147,3,0,95,1,4,0,0,0,47,0,0
Malantouen,Ecole Publique De Matagnom A,134,96,91,4,1,24,0,2,1,0,1,62,1,0
Malantouen,Ecole Publique De Matoupou A,409,275,275,0,0,85,2,5,1,0,0,179,1,2
Malantouen,Ecole Publique De Matoupou B,400,282,282,0,0,98,3,2,0,0,0,178,0,1
Malantouen,Ecole Publique De Matoupou C,178,121,118,3,0,45,0,2,0,0,0,71,0,0
Malantouen,Ecole Publique De Ndetnga A,224,170,168,1,1,106,1,2,0,0,1,58,0,0
Malantouen,Ecole Publique De Njinga A,317,213,209,4,0,93,2,3,0,3,0,107,0,1
Malantouen,Ecole Publique De Njinga B,287,194,189,2,3,65,0,6,1,1,0,116,0,0
Malantouen,Ecole Publique De Njitiem A,155,103,103,0,0,34,0,2,0,0,0,67,0,0
Malantouen,Ecole Publique Groupe I De Mal A,370,211,211,0,0,97,0,20,5,2,1,78,5,3
Malantouen,Ecole Publique Groupe I De Mal B,344,,173,2,7,69,00,24,2,2,0,65,0,11
Malantouen,Ecole Publique Groupe Ii De Mal A,411,253,251,1,1,118,4,25,3,0,0,85,5,11
Malantouen,Ecole Publique Groupe Ii De Mal B,353,215,214,1,0,99,1,16,2,0,1,90,2,3
Malantouen,Ecole Publique Groupe Ii De Mal C,367,216,215,0,1,106,0,14,5,2,0,83,1,4
Malantouen,Foyer Jeunesse Et Animation A,132,93,92,1,0,41,0,3,0,0,0,47,1,0
Malantouen,Poste Agricole Mantoum A,99,68,67,1,0,18,0,2,0,0,0,47,0,0
