COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Batie,,,,,,,,,,,,,,,
Batie,Cebec Chefferie A,360,121,120,01,,43,02,66,00,00,00,00,06,03
Batie,Cebec Famgoum Ii A,285,148,,02,,76,0,63,02,00,01,01,02,06
Batie,Ces Balig A,146,106,,01,,48,00,45,01,02,00,01,00,08
Batie,Csi Bametchetcha A,85,48,,01,,35,0,05,0,0,01,0,03,03
Batie,E Mat De Bachepang A,311,234,228,04,02,156,04,54,01,01,01,00,02,09
Batie,E P De Nsoo A,83,56,,00,,28,,27,,,,,01,
Batie,Emc Balig A,279,134,,01,,64,01,62,,1,0,,,5
Batie,Emc Famgoum Ii A,337,172,,03,,65,0,86,00,00,01,01,06,10
Batie,Ep Badjeugou A,264,149,,01,,,,,,,,,,
