COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Foumban,,,,,,,,,,,,,,,
Foumban,Centre De Promotion De La Femme A,,,,,,125,0,13,5,0,0,108,0,0
Foumban,Commune Rurale De Foumban B,,249,,,,99,2,14,12,0,0,117,4,1
Foumban,Delegation Dep Des Affaires Sociales A,,,,,,68,2,5,5,0,0,117,0,0
Foumban,Delegation Departementale Elevage A,,,,,,57,0,4,3,0,0,36,2,0
Foumban,Ecole Annexe Groupe I A,,,,,,77,1,6,3,0,0,194,,4
Foumban,Ecole Cebec Njisse A,,,,,,111,3,7,6,0,0,134,0,0
Foumban,Ecole Cebec Njisse B,,,,,,100,2,4,5,0,1,147,0,1
Foumban,Ecole Cebec Njisse C,,,,,,110,3,8,7,0,0,107,0,0
Foumban,Ecole Des Infirmiers Diplomes Detat A,,,,,,29,0,32,5,0,0,26,1,0
Foumban,Ecole Publique De Gbetpefa A,,,,,,141,2,2,2,0,0,153,0,0
Foumban,Ecole Publique De Kounga A,,,,,,87,1,27,13,2,0,78,27,1
Foumban,Ecole Publique De Kounga B,,,,,,79,2,,15,0,12,13,0,1
Foumban,Ecole Publique De Njiloum B,,,,,,90,1,8,9,0,0,105,0,0
Foumban,Ecole Publique De Njinka A,,,,,,46,2,8,3,0,0,225,0,0
Foumban,Ecole Publique De Njinka B,,,,,,36,5,9,4,0,0,212,0,0
Foumban,Ecole Publique De Njinka C,,,,,,36,5,9,4,0,0,212,0,0
Foumban,Inspection Darrond Deducation De Base A,,,,,,32,1,7,0,0,0,33,2,1
Foumban,Lycee Bilingue De Foumban B,,,,,,62,1,37,11,0,0,107,0,2
Foumban,Lycee Classique De Foumban C,,,,,,19,0,14,7,0,0,29,0,2
Foumban,Service Departemental Des Domaines B,,,,,,75,0,4,5,0,0,72,1,1
