COUNCIL_NAME,POLLING_STATION,inscrits,votants,votes,nuls,blancs,biya,garga,kamto,cabral,matomba,akere,ndam,ndifor,osih
Kouoptamo,,,,,,,,,,,,,,,
Kouoptamo,Cebec Bankouop A,446,288,282,06,02,171,01,20,16,03,02,43,07,19
Kouoptamo,Centre De Sante Integre De La Chanas A,426,275,274,01,00,182,03,20,06,04,00,30,05,24
Kouoptamo,Ecole Franco Islamique S Prefecture A,346,230,228,01,01,83,00,01,2,00,00,142,00,0
Kouoptamo,Ecole Maternelle De La Mairie A,435,261,258,01,02,128,03,16,07,01,04,76,10,13
Kouoptamo,Ecole Maternelle De La Mairie B,420,242,239,03,01,98,04,24,07,04,00,80,00,18
Kouoptamo,Ecole Pub De Njindoun A,471,322,322,10,01,103,07,06,04,01,01,190,00,00
Kouoptamo,Ecole Publique De Ngouendam A,343,197,197,0,0,80,04,09,00,00,00,103,01,00
Kouoptamo,Ecole Publique De Ngouenjiamgbie A,396,257,254,02,01,99,02,03,05,00,01,133,04,06
Kouoptamo,Ecole Publique De Ngouenjingoumbe A,262,160,155,05,05,119,00,12,02,01,00,20,01,00
Kouoptamo,Ecole Publique De Nkouncha A,220,162,160,01,01,84,03,03,00,00,00,69,00,01
Kouoptamo,Ecole Publique Njingoumbe Marche A,426,292,291,01,00,122,01,07,04,01,03,150,01,02
Kouoptamo,Ecole Publique Njingoumbe Njissen A,342,258,258,00,00,127,04,05,01,01,01,116,03,00
Kouoptamo,Mission Catholique De Kouomboum A,440,307,306,01,0,98,02,21,04,04,01,106,09,07
Kouoptamo,Poste Agricole A,240,157,156,01,00,95,03,02,00,01,00,54,00,01
